,ref_network,auprc
0,STRING,0.0026573417811250393
1,nonspecific_chip,0.011595172274565668
2,2_specific_chip,0.1763491968938385
3,3_specific_chip,0.1772865926872126
4,4_specific_chip,0.19020308036514097
5,5_specific_chip,0.19652247202330833
6,6_specific_chip,0.1705040173705104
7,7_specific_chip,0.08867909788161402
8,9_specific_chip,0.1834560029787451
9,10_specific_chip,0.09601445254791907
10,11_specific_chip,0.17493001929689628
11,12_specific_chip,0.18679624556814617
12,13_specific_chip,0.17851400933414618
13,14_specific_chip,0.17692243381617356
14,15_specific_chip,0.17770929190073267
15,16_specific_chip,0.1701874856328801
16,17_specific_chip,0.1767080840166912
17,18_specific_chip,0.17665763814563856
18,19_specific_chip,0.09394806734338189
19,21_specific_chip,0.09159151729531251
20,23_specific_chip,0.5740701632489345
21,24_specific_chip,0.11421186746927946
